0,24,26,17,18,34,37,35,37,31,40,38,23,27,31,24,40,33,18,29,35,28,15,35,43,35,18,38,28,25,24,28,35,26,21,22,29,32,35,30,30,26,20,31,35,23,29,29,14,34,40,36,36,40,15,11,16,30,31,29,23,29,27,36,22,33,27,23,37,27,21,31,33,29,39,33,29,34,36,32,33,28,9,31,28,26,37,27,35,42,28,30,25,22,34,16,19,42,20,31,30,9,30,30,2,30,30,35,36,32,32,34
24,0,26,26,15,35,30,29,37,32,33,34,15,35,31,9,33,33,21,31,35,31,19,36,36,34,20,38,24,25,31,28,35,25,28,24,30,28,36,31,30,27,15,31,42,21,29,27,22,34,28,36,36,32,21,24,22,30,38,29,15,25,26,36,37,35,34,20,32,31,10,31,44,31,40,32,35,36,40,28,22,35,33,36,28,26,37,35,37,40,28,29,25,18,34,20,16,40,20,31,30,31,28,26,26,27,30,34,34,32,27,25
26,26,0,32,17,17,17,17,22,14,29,22,22,18,9,26,26,16,29,10,19,16,24,23,22,38,23,20,37,5,18,9,14,5,22,13,13,13,16,14,10,15,19,12,16,10,8,9,26,14,28,20,20,22,23,25,22,10,25,7,22,38,7,18,26,9,17,10,46,9,21,14,26,19,21,32,18,18,14,12,34,17,31,13,7,4,36,18,21,42,9,11,9,21,15,25,23,43,11,9,11,31,8,9,27,8,20,38,35,22,40,18
17,26,32,0,18,40,32,32,41,37,43,36,19,34,35,18,44,38,12,35,39,33,21,41,39,36,20,43,29,30,31,32,40,29,28,28,34,30,41,34,34,31,19,36,39,25,34,30,21,39,39,41,40,34,21,16,22,34,38,33,19,30,30,41,28,38,34,25,37,33,14,37,42,34,44,34,36,39,43,31,32,35,17,39,33,31,39,34,40,43,32,35,31,23,39,22,20,43,26,35,35,17,35,30,11,33,35,36,36,37,32,27
18,15,17,18,0,29,26,25,32,27,35,32,8,29,25,11,36,28,17,25,29,23,13,31,32,35,14,33,24,19,24,22,30,19,21,18,25,23,31,24,24,22,4,26,29,16,24,21,16,28,31,31,30,28,15,16,16,25,31,23,7,25,20,31,36,28,28,15,33,26,8,26,34,25,34,33,29,29,32,27,24,29,23,26,23,21,37,27,30,41,21,24,21,7,28,14,12,42,16,25,25,23,25,20,18,23,26,35,35,28,27,21
34,35,17,40,29,0,27,20,9,3,36,20,28,19,9,30,33,10,33,17,17,25,29,11,29,45,28,17,46,16,20,15,5,17,24,19,8,19,7,20,18,8,29,19,17,18,13,15,28,8,35,9,18,22,26,29,25,21,27,13,32,48,17,12,30,10,18,19,56,9,31,19,27,8,15,40,20,5,12,19,38,19,36,19,13,16,43,20,9,50,15,17,10,31,14,29,27,51,18,9,18,36,14,17,31,14,9,45,42,10,50,27
37,30,17,32,26,27,0,23,22,27,26,10,22,38,24,26,23,29,32,30,15,30,38,22,19,34,38,15,39,23,38,21,30,28,42,30,32,17,31,22,18,34,28,27,16,34,27,32,41,27,25,27,13,8,40,39,38,27,46,27,24,41,26,22,42,26,37,27,49,29,28,20,46,26,23,29,38,33,26,11,33,38,46,19,27,25,34,39,26,39,20,23,27,32,20,39,36,40,34,23,17,46,28,31,40,28,29,34,32,25,42,15
35,29,17,32,25,20,23,0,23,20,28,17,21,24,16,24,25,19,31,22,14,14,30,22,21,37,30,25,39,11,25,9,21,15,29,24,18,9,22,7,12,20,26,10,12,20,15,18,33,21,27,22,15,17,32,31,31,13,32,14,22,40,13,22,35,18,23,20,47,17,26,9,33,25,25,31,25,25,22,11,32,24,38,8,14,12,36,26,22,41,11,12,14,28,17,31,29,42,21,16,11,38,16,18,32,19,25,37,34,28,42,10
37,37,22,41,32,9,22,23,0,10,39,27,32,27,17,35,36,5,38,21,24,25,33,8,32,48,33,19,47,17,27,18,14,22,31,24,13,22,8,21,18,12,29,19,23,23,21,21,37,16,38,5,25,28,33,35,32,20,34,20,32,48,18,8,37,17,26,24,57,16,31,21,36,12,10,42,27,9,15,22,43,27,42,21,20,23,47,28,4,53,17,20,17,31,17,35,32,54,23,17,17,42,21,23,36,20,11,48,45,8,50,27
31,32,14,37,27,3,27,20,10,0,39,24,28,22,13,31,36,11,34,16,21,26,29,13,33,48,29,20,44,20,23,17,9,20,27,20,8,22,9,22,19,8,27,20,21,18,17,17,32,12,39,10,22,26,29,30,28,24,30,16,29,46,22,14,33,13,22,20,54,12,29,22,31,8,16,42,23,5,17,22,39,22,37,22,16,18,46,24,11,54,18,20,13,28,18,30,28,54,18,14,22,37,18,19,32,16,10,48,45,12,47,28
40,33,29,43,35,36,26,28,39,39,0,34,29,42,34,30,7,36,38,34,35,36,38,39,16,25,39,35,31,28,42,26,38,32,46,37,35,23,39,33,33,37,31,31,33,38,32,36,41,39,8,39,34,28,39,41,41,30,51,31,30,33,30,39,49,35,41,34,41,33,34,29,51,42,42,15,42,43,41,24,17,42,43,27,31,29,19,43,40,26,29,28,31,34,38,39,36,26,39,34,32,42,33,36,37,32,43,25,20,46,35,28
