origin,destination,origin_location,destination_location,distance,duration,distance_r,duration_r
2483,20576,"118.131278,24.523629","118.145365,24.514049",3846,619,4720,1593
20576,14219,"118.145365,24.514049","118.224097,24.660921",25907,1600,41290,7301
14219,12854,"118.224097,24.660921","118.092163,24.479776",31169,1926,26120,2761
12854,1987,"118.092163,24.479776","118.095249,24.474735",2807,475,1220,1651
1987,2207858,"118.095249,24.474735","118.097583,24.471837",1322,353,400,90
2207858,1951,"118.097583,24.471837","118.076164,24.458875",5413,1429,1100,301
1951,49937,"118.076164,24.458875","118.074076,24.465147",2983,826,770,240
49937,12810,"118.074076,24.465147","118.127179,24.502152",9677,1477,21260,3015
12810,366,"118.127179,24.502152","118.127506,24.490292",2083,512,1740,270
366,2206036,"118.127506,24.490292","118.143558,24.500463",3545,901,560,270
2206036,568,"118.143558,24.500463","118.126822,24.530129",5475,734,19870,1682
568,1754561,"118.126822,24.530129","118.144474,24.50169",5450,1003,2740,780
1754561,2238807,"118.144474,24.50169","118.141039,24.504156",679,193,980,299
2238807,2059323,"118.141039,24.504156","118.138781,24.501903",910,254,700,210
2059323,207157,"118.138781,24.501903","118.093216,24.470299",8782,1078,290,90
207157,441,"118.093216,24.470299","118.092406,24.470669",204,69,130,90
441,1235426,"118.092406,24.470669","118.133312,24.526258",11433,1218,48830,15538
1235426,2264590,"118.133312,24.526258","118.152197,24.504403",5661,980,2180,510
2264590,31075,"118.152197,24.504403","118.126842,24.496912",4946,840,830,240
31075,197,"118.126842,24.496912","118.129251,24.496556",821,187,260,120
197,822956,"118.129251,24.496556","118.118792,24.486694",2031,467,2190,510
822956,20738,"118.118792,24.486694","118.087676,24.492407",3773,555,20950,1801
20738,684833,"118.087676,24.492407","118.088437,24.490496",990,222,230,90
684833,197741,"118.088437,24.490496","118.094851,24.468669",4497,976,1610,570
197741,2242215,"118.094851,24.468669","118.094685,24.469211",152,54,60,60
2242215,1623916,"118.094685,24.469211","118.243752,24.662637",33524,2432,170,159
1623916,2238680,"118.243752,24.662637","118.240781,24.652759",1593,380,2130,1741
2238680,2237046,"118.240781,24.652759","118.08784,24.46672",35418,2349,25090,2401
