origin,destination,origin_location,destination_location,distance,duration,distance_r,duration_r
2243658,761,"118.155633,24.48001","118.166637,24.476225",2221,514,2800,1020
761,2229990,"118.166637,24.476225","118.174227,24.48246",1480,410,2970,1620
2229990,876123,"118.174227,24.48246","118.171656,24.506569",3916,733,5540,1140
876123,978080,"118.171656,24.506569","118.171598,24.506673",13,9,10,60
978080,1394159,"118.171598,24.506673","118.127328,24.495453",5946,711,212780,340020
1394159,1950,"118.127328,24.495453","118.118084,24.483302",2711,557,1970,1380
1950,1289781,"118.118084,24.483302","118.128624,24.491419",1771,355,1830,300
1289781,1754561,"118.128624,24.491419","118.143564,24.500589",3525,593,8670,5460
1754561,2242363,"118.143564,24.500589","118.003056,24.598851",21146,1316,19570,1140
2242363,2205885,"118.003056,24.598851","118.136256,24.506544",20597,1224,31060,17220
2205885,1081,"118.136256,24.506544","117.998953,24.603775",20305,1375,36360,59640
1081,44313,"117.998953,24.603775","118.101508,24.524826",16248,1162,18380,6180
44313,69,"118.101508,24.524826","118.10097,24.514966",2540,442,3500,1560
69,39813,"118.10097,24.514966","118.098893,24.514247",516,184,980,120
39813,2242442,"118.098893,24.514247","118.100718,24.5045",1701,371,3250,960
2242442,2238264,"118.100718,24.5045","118.107614,24.513889",2347,446,26760,15300
2238264,34535,"118.107614,24.513889","118.111892,24.517586",938,257,830,240
34535,2154236,"118.111892,24.517586","118.083721,24.46273",9873,934,55150,61500
2154236,31859,"118.083721,24.46273","118.086304,24.465156",718,145,1210,180
31859,2246653,"118.086304,24.465156","118.074522,24.465697",1862,429,4080,2160
2246653,2208454,"118.074522,24.465697","118.103493,24.51181",9315,923,2600,1980
2208454,67,"118.103493,24.51181","118.093973,24.507117",1471,256,26280,18300
67,263,"118.093973,24.507117","118.168512,24.503925",11664,1264,3200,540
263,12907,"118.168512,24.503925","118.122023,24.508836",5819,598,61340,237660
12907,31079,"118.122023,24.508836","118.119238,24.485141",4562,597,28620,16560
31079,748,"118.119238,24.485141","118.121948,24.48481",1246,268,420,120
748,180,"118.121948,24.48481","118.135051,24.492742",3666,655,2340,360
180,84,"118.135051,24.492742","118.138548,24.493017",2395,593,480,120
84,1766588,"118.138548,24.493017","118.244774,24.600472",17938,1069,41010,3060
1766588,2225701,"118.244774,24.600472","118.271569,24.66968",9457,1215,52920,7260
2225701,28670,"118.271569,24.66968","118.095372,24.467691",36416,2517,188830,80280
28670,1846597,"118.095372,24.467691","118.094021,24.467701",345,151,150,60
1846597,388598,"118.094021,24.467701","118.090203,24.469953",1201,281,640,180
388598,2246646,"118.090203,24.469953","118.074771,24.465806",2224,392,3400,1980
2246646,14219,"118.074771,24.465806","118.224097,24.660921",35873,2158,124820,256200
14219,2237274,"118.224097,24.660921","118.092163,24.479776",31169,1798,26120,2760
2237274,2207858,"118.092163,24.479776","118.097583,24.471837",3132,494,1620,1800
2207858,1777217,"118.097583,24.471837","118.0904,24.470215",2148,422,990,480
1777217,49937,"118.0904,24.470215","118.074076,24.465147",2103,254,1960,660
49937,366,"118.074076,24.465147","118.127506,24.490292",7195,1076,26880,6720
366,201,"118.127506,24.490292","118.136704,24.520738",5851,813,27320,17820
201,2238807,"118.136704,24.520738","118.141039,24.504156",4204,791,9170,4200
2238807,936173,"118.141039,24.504156","118.136087,24.506723",1211,251,1300,840
936173,1907,"118.136087,24.506723","118.081094,24.466325",8899,1082,61610,57780
1907,2203048,"118.081094,24.466325","118.076838,24.463027",688,150,3980,4620
2203048,58090,"118.076838,24.463027","118.093983,24.46772",1881,448,4080,780
58090,2226347,"118.093983,24.46772","118.093216,24.470299",1178,208,290,60
2226347,20738,"118.093216,24.470299","118.087676,24.492407",3668,564,55100,58200
20738,1782995,"118.087676,24.492407","118.076022,24.462877",4111,554,6330,1680
1782995,2206038,"118.076022,24.462877","118.094851,24.468669",2327,517,3280,1380
2206038,1623916,"118.094851,24.468669","118.243752,24.662637",33456,2017,63880,18960
1623916,5304,"118.243752,24.662637","118.086513,24.457",35839,2109,108050,62640
5304,1801,"118.086513,24.457","118.084423,24.454839",390,111,2200,2100
1801,2229663,"118.084423,24.454839","118.083479,24.454477",123,39,110,60
2229663,712239,"118.083479,24.454477","118.094665,24.463214",2852,530,1650,660
712239,1029,"118.094665,24.463214","118.104369,24.464256",1391,291,1470,600
1029,12833,"118.104369,24.464256","118.10227,24.52382",9166,1400,16540,1200
12833,53312,"118.10227,24.52382","118.100347,24.511421",2599,613,4860,2940
53312,292769,"118.100347,24.511421","118.105134,24.526587",2863,503,11010,5400
292769,1987,"118.105134,24.526587","118.095264,24.474631",9313,1042,57030,57720
1987,207157,"118.095264,24.474631","118.093271,24.47007",2103,392,530,180
207157,12905,"118.093271,24.47007","118.159914,24.474626",7911,1026,57990,17760
12905,721,"118.159914,24.474626","118.168178,24.472979",1121,198,1090,360
721,56820,"118.168178,24.472979","118.18082,24.510813",5915,825,8120,2520
56820,2244270,"118.18082,24.510813","118.17316,24.504318",1691,406,1340,660
2244270,1181133,"118.17316,24.504318","118.159955,24.512712",3282,621,6180,1500
1181133,28470,"118.159955,24.512712","118.101178,24.525531",9411,1019,45470,146400
28470,1076327,"118.101178,24.525531","118.098308,24.466924",10806,1030,3280,840
1076327,292806,"118.098308,24.466924","118.099317,24.468242",285,41,2460,780
292806,2226050,"118.099317,24.468242","118.103488,24.467616",511,55,590,300
2226050,51383,"118.103488,24.467616","118.076106,24.452622",4121,611,61380,57420
51383,2207713,"118.076106,24.452622","118.088992,24.460932",3000,647,3450,2700
2207713,3709,"118.088992,24.460932","118.101804,24.504688",8134,876,3630,1080
3709,1235427,"118.101804,24.504688","118.111153,24.516533",2632,510,18950,1800
1235427,1817,"118.111153,24.516533","118.098531,24.504816",2811,524,9810,5580
1817,582,"118.098531,24.504816","118.073794,24.463437",6105,698,340,240
582,1316432,"118.073794,24.463437","118.091367,24.466895",2249,414,3460,1380
1316432,995200,"118.091367,24.466895","118.101444,24.469159",2150,439,2180,900
995200,58391,"118.101444,24.469159","118.103392,24.467749",460,160,310,60
58391,1029422,"118.103392,24.467749","118.082634,24.451551",3395,555,3600,610
1029422,2237046,"118.082634,24.451551","118.087614,24.466566",3408,646,53890,19500
2237046,31592,"118.087614,24.466566","118.088259,24.460147",1327,238,5600,6060
31592,1216954,"118.088259,24.460147","118.076454,24.455692",1929,463,52830,234060
1216954,1661,"118.076454,24.455692","118.131569,24.491625",7540,1035,5790,840
1661,12820,"118.131569,24.491625","118.103568,24.46175",4932,685,53750,63240
12820,2049,"118.103568,24.46175","118.090147,24.461701",3174,460,54410,16680
2049,110,"118.090147,24.461701","118.056367,24.571737",20267,1519,9230,61080
110,1095,"118.056367,24.571737","118.087385,24.462813",19018,1304,440,60
1095,2244730,"118.087385,24.462813","118.099853,24.58699",20262,1465,15190,10800
