origin,destination,origin_location,destination_location,distance_r,duration_r
2243256.0,281.0,"118.003569,24.598248","118.003235,24.601972",710.0000000000009,149.0
281.0,2237395.0,"118.003235,24.601972","118.127689,24.478813",22810.0,2510.0
2237395.0,1523453.0,"118.127689,24.478813","118.134905,24.480119",740.000000000002,270.0
1523453.0,31218.0,"118.134905,24.480119","118.147091,24.479518",1039.999999999999,180.0
31218.0,762.0,"118.147091,24.479518","118.155633,24.48001",1929.9999999999998,541.0
762.0,713.0,"118.155633,24.48001","118.154113,24.477653",1030.0000000000011,209.0
713.0,380.0,"118.154113,24.477653","118.156935,24.477402",520.0000000000032,120.00000000000001
380.0,754.0,"118.156935,24.477402","118.164853,24.475351",899.9999999999986,150.0
754.0,3389.0,"118.164853,24.475351","118.166637,24.476225",280.00000000000114,60.00000000000001
3389.0,139.0,"118.166637,24.476225","118.167494,24.471628",699.9999999999957,210.0
139.0,374.0,"118.167494,24.471628","118.168468,24.47405",929.9999999999998,180.0
374.0,2230817.0,"118.168468,24.47405","118.172996,24.479926",850.0000000000014,180.0
2230817.0,133339.0,"118.172996,24.479926","118.173808,24.481411",260.0000000000051,120.00000000000001
133339.0,55906.0,"118.173808,24.481411","118.181231,24.482964",909.9999999999966,180.0
55906.0,56820.0,"118.181231,24.482964","118.180993,24.508972",3399.9999999999986,420.0
56820.0,3283.0,"118.180993,24.508972","118.171656,24.506569",1219.9999999999989,270.0
3283.0,1280.0,"118.171656,24.506569","118.170904,24.507749",140.00000000000057,60.00000000000001
1280.0,2242363.0,"118.170904,24.507749","118.003627,24.598172",22420.0,1412.0
2242363.0,243.0,"118.003627,24.598172","118.10706,24.531319",15729.999999999989,1220.0
243.0,1835219.0,"118.10706,24.531319","118.107147,24.52815",450.00000000000284,180.0
1835219.0,209.0,"118.107147,24.52815","118.101926,24.530226",510.0000000000051,120.00000000000001
209.0,2881302.0,"118.101926,24.530226","118.091288,24.519947",2109.9999999999995,543.0
2881302.0,23044.0,"118.091288,24.519947","118.096726,24.507199",3350.0000000000086,929.0000000000001
23044.0,34195.0,"118.096726,24.507199","118.104821,24.509027",1420.0000000000018,270.0
34195.0,2645.0,"118.104821,24.509027","118.116644,24.509999",1269.999999999996,240.00000000000003
2645.0,1103394.0,"118.116644,24.509999","118.130083,24.510106",1400.0000000000057,271.0
1103394.0,2238851.0,"118.130083,24.510106","118.136857,24.515687",1569.9999999999932,1031.0
2238851.0,201.0,"118.136857,24.515687","118.135838,24.519968",489.9999999999949,90.0
201.0,2075.0,"118.135838,24.519968","118.120724,24.516732",1680.0000000000068,270.0
2075.0,399819.0,"118.120724,24.516732","118.117099,24.511732",879.9999999999955,150.0
399819.0,2239101.0,"118.117099,24.511732","118.114343,24.513598",0.0,120.00000000000001
2239101.0,34535.0,"118.114343,24.513598","118.11336,24.518675",0.0,120.00000000000001
34535.0,99.0,"118.11336,24.518675","117.99969,24.60283",639.9999999999864,180.0
99.0,2206839.0,"117.99969,24.60283","118.085442,24.493961",20419.99999999999,2821.0
2206839.0,17.0,"118.085442,24.493961","118.093751,24.491673",969.9999999999989,150.0
17.0,3423.0,"118.093751,24.491673","118.094563,24.48815",0.0,150.0
3423.0,48551.0,"118.094563,24.48815","118.087635,24.4812",0.0,968.0000000000001
48551.0,1450978.0,"118.087635,24.4812","118.094198,24.476287",1289.999999999992,139.0
1450978.0,1987.0,"118.094198,24.476287","118.094302,24.475735",570.0000000000216,2538.0
1987.0,582.0,"118.094302,24.475735","118.075351,24.463003",3050.0000000000114,690.0
582.0,43173.0,"118.075351,24.463003","118.075962,24.462928",109.99999999998522,90.0
43173.0,566.0,"118.075962,24.462928","118.079192,24.463843",449.99999999998863,90.0
566.0,2246646.0,"118.079192,24.463843","118.073854,24.467823",1020.0000000000102,211.0
2246646.0,61.0,"118.073854,24.467823","118.128865,24.502504",20009.999999999993,1652.0
61.0,4242.0,"118.128865,24.502504","118.130326,24.501405",349.9999999999943,149.0
4242.0,609391.0,"118.130326,24.501405","118.14252,24.501195",1259.999999999991,210.0
609391.0,1081.0,"118.14252,24.501195","117.997466,24.605305",960.000000000008,210.0
1081.0,12810.0,"117.997466,24.605305","118.127772,24.501393",210.00000000003638,90.0
12810.0,335082.0,"118.127772,24.501393","118.127328,24.495453",699.9999999999886,180.0
335082.0,1709538.0,"118.127328,24.495453","118.126172,24.493128",360.00000000001364,120.00000000000001
1709538.0,753.0,"118.126172,24.493128","118.118645,24.484919",1389.9999999999864,300.0
753.0,554.0,"118.118645,24.484919","118.118101,24.483434",199.99999999998863,78.0
554.0,366.0,"118.118101,24.483434","118.128624,24.491419",1829.999999999984,298.0
366.0,87.0,"118.128624,24.491419","118.135124,24.492825",1229.9999999999613,211.0
87.0,5925.0,"118.135124,24.492825","118.133892,24.495876",420.0000000000159,90.0
5925.0,2255.0,"118.133892,24.495876","118.128983,24.499227",1030.0000000000296,210.0
2255.0,2737.0,"118.128983,24.499227","118.146194,24.495962",2930.000000000007,1850.0000000000002
2737.0,199.0,"118.146194,24.495962","118.143033,24.496278",1659.9999999999682,329.0
199.0,177.0,"118.143033,24.496278","118.143564,24.500589",580.0000000000409,149.0
177.0,2483.0,"118.143564,24.500589","118.131556,24.523094",20389.999999999985,2252.0
2483.0,568.0,"118.131556,24.523094","118.129277,24.531981",1659.9999999999682,300.0
568.0,2238780.0,"118.129277,24.531981","118.144998,24.531307",3240.000000000009,390.0
2238780.0,1185170.0,"118.144998,24.531307","118.146389,24.524892",800.0000000000114,150.0
1185170.0,38472.0,"118.146389,24.524892","118.149173,24.513657",1750.0,540.0
38472.0,55249.0,"118.149173,24.513657","118.144695,24.506617",1670.000000000016,659.0
55249.0,2239388.0,"118.144695,24.506617","118.136256,24.506544",870.0000000000045,150.0
2239388.0,410.0,"118.136256,24.506544","118.122241,24.48997",500.0,120.00000000000001
410.0,623.0,"118.122241,24.48997","118.123159,24.491658",259.9999999999909,96.0
623.0,2244650.0,"118.123159,24.491658","118.148842,24.532211",9879.999999999996,51606.0
2244650.0,82.0,"118.148842,24.532211","118.103854,24.527422",399.99999999997726,60.00000000000001
82.0,516.0,"118.103854,24.527422","118.101508,24.524826",1539.9999999999636,630.0
516.0,69.0,"118.101508,24.524826","118.101031,24.514972",1569.9999999999932,391.0
69.0,56907.0,"118.101031,24.514972","118.092854,24.513885",610.0000000000136,180.0
56907.0,67.0,"118.092854,24.513885","118.092493,24.507839",750.0,150.0
67.0,1185186.0,"118.092493,24.507839","118.092053,24.504796",1009.9999999999909,391.0
1185186.0,3709.0,"118.092053,24.504796","118.100718,24.5045",879.9999999999955,119.00000000000001
3709.0,597.0,"118.100718,24.5045","118.112962,24.509709",1349.999999999966,150.0
597.0,701086.0,"118.112962,24.509709","118.128546,24.5067",1340.0000000000318,210.0
701086.0,271153.0,"118.128546,24.5067","118.113936,24.514212",2750.0,757.0
271153.0,32115.0,"118.113936,24.514212","118.094253,24.510806",1300.0000000000114,482.00000000000006
32115.0,411.0,"118.094253,24.510806","118.113908,24.509931",79.99999999998408,90.0
411.0,2238264.0,"118.113908,24.509931","118.107614,24.513889",990.0000000000091,180.0
2238264.0,125.0,"118.107614,24.513889","118.113586,24.515297",399.99999999997726,121.00000000000001
125.0,110.0,"118.113586,24.515297","118.055596,24.572065",7610.000000000014,660.0
110.0,1103377.0,"118.055596,24.572065","118.073841,24.462515",2009.999999999991,1079.0
1103377.0,34333.0,"118.073841,24.462515","118.075956,24.462824",0.0,30.000000000000004
34333.0,1402.0,"118.075956,24.462824","118.083721,24.46273",849.9999999999659,150.0
1402.0,1281.0,"118.083721,24.46273","118.086304,24.465156",1210.0000000000364,180.0
