origin,destination,origin_location,destination_location,distance,duration,distance_r,duration_r
2243256.0,281.0,"118.003569,24.598248","118.003235,24.601972",1818,447,710.0000000000009,149.0
281.0,2237395.0,"118.003235,24.601972","118.127689,24.478813",23842,1820,22810.0,2510.0
2237395.0,1523453.0,"118.127689,24.478813","118.134905,24.480119",1437,527,740.000000000002,270.0
1523453.0,31218.0,"118.134905,24.480119","118.147091,24.479518",2946,668,1039.999999999999,180.0
31218.0,762.0,"118.147091,24.479518","118.155633,24.48001",1841,447,1930.0,541.0
762.0,713.0,"118.155633,24.48001","118.154113,24.477653",2069,452,1030.0000000000011,209.0
713.0,380.0,"118.154113,24.477653","118.156935,24.477402",2426,467,520.0000000000032,120.0
380.0,754.0,"118.156935,24.477402","118.164853,24.475351",1582,282,899.9999999999986,150.0
754.0,3389.0,"118.164853,24.475351","118.166637,24.476225",1726,506,280.00000000000114,60.00000000000001
3389.0,139.0,"118.166637,24.476225","118.167494,24.471628",1811,460,699.9999999999957,210.0
139.0,374.0,"118.167494,24.471628","118.168468,24.47405",1575,387,929.9999999999998,180.0
374.0,2230817.0,"118.168468,24.47405","118.172996,24.479926",1612,411,850.0000000000014,180.0
2230817.0,133339.0,"118.172996,24.479926","118.173808,24.481411",668,206,260.0000000000051,120.0
133339.0,55906.0,"118.173808,24.481411","118.181231,24.482964",1422,368,909.9999999999966,180.0
55906.0,56820.0,"118.181231,24.482964","118.180993,24.508972",4071,638,3399.999999999998,420.0
56820.0,3283.0,"118.180993,24.508972","118.171656,24.506569",1679,375,1219.9999999999989,270.0
3283.0,1280.0,"118.171656,24.506569","118.170904,24.507749",999,406,140.00000000000057,60.00000000000001
1280.0,2242363.0,"118.170904,24.507749","118.003627,24.598172",25726,1826,22420.0,1412.0
2242363.0,243.0,"118.003627,24.598172","118.10706,24.531319",15458,1166,15729.999999999987,1220.0
243.0,1835219.0,"118.10706,24.531319","118.107147,24.52815",632,183,450.0000000000029,180.0
1835219.0,209.0,"118.107147,24.52815","118.101926,24.530226",2147,412,510.0000000000051,120.0
209.0,2881302.0,"118.101926,24.530226","118.091288,24.519947",2515,534,2109.9999999999995,543.0
2881302.0,23044.0,"118.091288,24.519947","118.096726,24.507199",2391,495,3350.0000000000086,929.0
23044.0,34195.0,"118.096726,24.507199","118.104821,24.509027",1170,269,1420.0000000000018,270.0
34195.0,2645.0,"118.104821,24.509027","118.116644,24.509999",2286,511,1269.999999999996,240.00000000000003
2645.0,1103394.0,"118.116644,24.509999","118.130083,24.510106",2289,536,1400.0000000000057,271.0
1103394.0,2238851.0,"118.130083,24.510106","118.136857,24.515687",2328,448,1569.9999999999932,1031.0
2238851.0,201.0,"118.136857,24.515687","118.135838,24.519968",6302,760,489.9999999999949,90.0
