origin,destination,origin_location,destination_location,distance_r,duration_r
1523453.0,762.0,"118.136807,24.480001","118.155633,24.48001",2990.000000000002,871.0
762.0,754.0,"118.155633,24.48001","118.164853,24.475351",2450.0000000000027,689.0
754.0,761.0,"118.164853,24.475351","118.166637,24.476225",280.00000000000114,60.00000000000001
761.0,1101.0,"118.166637,24.476225","118.167494,24.471628",699.9999999999957,210.0
1101.0,2229990.0,"118.167494,24.471628","118.173857,24.481457",2090.0000000000036,1207.0
2229990.0,55906.0,"118.173857,24.481457","118.181231,24.482964",909.9999999999966,180.0
55906.0,910268.0,"118.181231,24.482964","118.171656,24.506569",4630.000000000003,870.0
910268.0,243.0,"118.171656,24.506569","118.109172,24.530718",39390.0,15953.000000000002
243.0,4846.0,"118.109172,24.530718","118.107147,24.52815",450.00000000000284,180.0
4846.0,392118.0,"118.107147,24.52815","118.096726,24.507199",6280.000000000001,2042.0000000000002
392118.0,201.0,"118.096726,24.507199","118.135838,24.519968",6149.999999999992,2142.0
201.0,2075.0,"118.135838,24.519968","118.120724,24.516732",1680.0000000000068,270.0
2075.0,73.0,"118.120724,24.516732","118.11336,24.518675",1899.9999999999914,570.0
73.0,1081.0,"118.11336,24.518675","117.998313,24.604523",28200.00000000002,231688.0
1081.0,2061898.0,"117.998313,24.604523","118.094563,24.48815",0.0,3301.0
2061898.0,2203048.0,"118.094563,24.48815","118.075962,24.462928",0.0,4605.0
2203048.0,2242363.0,"118.075962,24.462928","118.003227,24.598651",23329.999999999985,1830.0000000000002
2242363.0,2773991.0,"118.003227,24.598651","118.00358,24.602043",990.0000000000091,13475.0
2773991.0,177.0,"118.00358,24.602043","118.14252,24.501195",22490.000000000007,2971.0
177.0,1394159.0,"118.14252,24.501195","118.127328,24.495453",22379.999999999996,4838.0
1394159.0,1709538.0,"118.127328,24.495453","118.126172,24.493128",360.00000000001364,120.00000000000001
1709538.0,554.0,"118.126172,24.493128","118.118101,24.483434",1589.999999999975,648.0
554.0,1289781.0,"118.118101,24.483434","118.128624,24.491419",1829.999999999984,298.0
1289781.0,180.0,"118.128624,24.491419","118.135124,24.492825",1229.9999999999613,211.0
180.0,5925.0,"118.135124,24.492825","118.133892,24.495876",420.0000000000159,90.0
5925.0,2737.0,"118.133892,24.495876","118.146194,24.495962",4650.000000000035,3769.0000000000005
2737.0,395856.0,"118.146194,24.495962","118.143033,24.496278",1659.9999999999682,329.0
