序号,定位时间,行驶速度,行驶里程,已停留/总停留,车辆状态,地理位置,车牌号码,行驶方向,location,TRANSID,INCEPTADDR
617,2023-09-01 09:15:51,17 km/h,47.38 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道洪文五里79号;洪莲路,莲前东路-洪莲路交叉路口;阿青龙虾(瑞景店),小鲜肉烤串屋の烧烤叔叔(牛庄洪文店),鑫旺旺汤包(瑞景店)",闽D0TL89,偏南(175),"118.155501,24.48008",762.0,厦门市思明区洪莲中路44号之一
618,2023-09-01 09:15:53,14 km/h,47.39 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道洪文五里79号;洪莲路,莲前东路-洪莲路交叉路口;阿青龙虾(瑞景店),小鲜肉烤串屋の烧烤叔叔(牛庄洪文店),鑫旺旺汤包(瑞景店)",闽D0TL89,东南(136),"118.155529,24.480003",762.0,厦门市思明区洪莲中路44号之一
619,2023-09-01 09:15:55,9 km/h,47.4 km, ,在线 / 行驶,"福建省厦门市思明区;洪莲里22号;洪莲里,聚丰新城,联丰新城",闽D0TL89,偏东(74),"118.155583,24.479988",762.0,厦门市思明区洪莲中路44号之一
620,2023-09-01 09:15:57,5 km/h,47.4 km, ,在线 / 行驶,"福建省厦门市思明区;洪莲里22号;洪莲里,聚丰新城,联丰新城",闽D0TL89,东北(52),"118.155619,24.480002",2243658.0,厦门市思明区洪莲中路42号店面
621,2023-09-01 09:16:05,0 km/h,47.4 km,0秒 / 0秒,在线 / 停车 / ACC开,"福建省厦门市思明区;洪莲里22号;洪莲里,聚丰新城,联丰新城",闽D0TL89,正北(0),"118.155633,24.48001",2243658.0,厦门市思明区洪莲中路42号店面
622,2023-09-01 09:16:27,4 km/h,47.4 km, ,在线 / 行驶,"福建省厦门市思明区;洪莲里22号;洪莲里,聚丰新城,联丰新城",闽D0TL89,偏北(352),"118.15564,24.480036",2243658.0,厦门市思明区洪莲中路42号店面
623,2023-09-01 09:16:29,5 km/h,47.4 km, ,在线 / 行驶,"福建省厦门市思明区;洪莲里22号;洪莲里,聚丰新城,联丰新城",闽D0TL89,西北(335),"118.155626,24.480062",2243658.0,厦门市思明区洪莲中路42号店面
624,2023-09-01 09:16:31,6 km/h,47.41 km, ,在线 / 行驶,"福建省厦门市思明区;洪莲里22号;洪莲里,聚丰新城,联丰新城",闽D0TL89,西北(320),"118.155606,24.480091",2243658.0,厦门市思明区洪莲中路42号店面
625,2023-09-01 09:16:33,10 km/h,47.41 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道洪文五里81号;洪莲路,莲前东路-洪莲路交叉路口;小鲜肉烤串屋の烧烤叔叔(牛庄洪文店),莲前东一家烧烤店,优学伴托辅教育",闽D0TL89,偏北(348),"118.155586,24.480127",762.0,厦门市思明区洪莲中路44号之一
626,2023-09-01 09:16:35,16 km/h,47.42 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道洪文五里81号;洪莲路,莲前东路-洪莲路交叉路口;小鲜肉烤串屋の烧烤叔叔(牛庄洪文店),莲前东一家烧烤店,优学伴托辅教育",闽D0TL89,偏北(7),"118.155582,24.480197",762.0,厦门市思明区洪莲中路44号之一
627,2023-09-01 09:16:37,21 km/h,47.43 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道;洪莲里27号;聚丰新城,洪莲里,厦门牛庄文化创意产业园",闽D0TL89,偏北(19),"118.155617,24.480341",2243658.0,厦门市思明区洪莲中路42号店面
642,2023-09-01 09:20:35,26 km/h,47.53 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道洪莲路17-121号;洪莲路,莲前东路-洪莲路交叉路口;小鲜肉烤串屋の烧烤叔叔(牛庄洪文店),鑫旺旺汤包(瑞景店),兄妹连潮汕鲜牛肉火锅(联丰店)",闽D0TL89,偏南(192),"118.155491,24.480185",762.0,厦门市思明区洪莲中路44号之一
694,2023-09-01 09:27:34,36 km/h,48.75 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道;洪文五里62之120;瑞景苑,瑞景商业广场(莲前东路店),华瑞花园",闽D0TL89,偏东(106),"118.155206,24.476546",713.0,思明区莲前东路73号
695,2023-09-01 09:27:52,18 km/h,48.88 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道洪文五路73号;洪文一路,洪文一路-洪文五路交叉路口;洪庄华仁堂,厚森(瑞景店),汇友茶社(洪文一路)",闽D0TL89,偏东(94),"118.15651,24.476242",380.0,思明区莲前东路168号
696,2023-09-01 09:27:54,11 km/h,48.89 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道;洪文六里64号104;瑞丽花园,汉墨书苑,文兴社",闽D0TL89,东北(53),"118.156589,24.476257",380.0,思明区莲前东路168号
697,2023-09-01 09:27:57,16 km/h,48.9 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道;洪文六里64号104;瑞丽花园,汉墨书苑,文兴社",闽D0TL89,东北(33),"118.156646,24.476319",380.0,思明区莲前东路168号
698,2023-09-01 09:27:58,25 km/h,48.91 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道;洪文六里64号104;文兴社,汉墨书苑,瑞丽花园",闽D0TL89,偏北(18),"118.1567,24.476412",380.0,思明区莲前东路168号
715,2023-09-01 09:30:27,48 km/h,49.48 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道前埔西路210号;前埔西路,前埔西路-莲前东路交叉路口;瑞康理疗馆,明发花园,阿丽小炒店",闽D0TL89,偏东(112),"118.160915,24.477087",12897.0,思明区洪莲里33号店面
716,2023-09-01 09:30:34,47 km/h,49.57 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道莲前东路881号;莲前东路,前埔西路-莲前东路交叉路口;瑞康理疗馆,魔奇家庭成长中心(前埔校区),明发花园",闽D0TL89,东南(117),"118.161765,24.476722",35231.0,思明区潘宅路18号A4店面
722,2023-09-01 09:32:18,23 km/h,49.98 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道;前埔西路;琴岛眼镜,福满山庄2栋,福满山庄3栋",闽D0TL89,正东(90),"118.165347,24.475144",754.0,*思明区莲前东路697号
723,2023-09-01 09:32:20,23 km/h,49.98 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道;前埔西路;琴岛眼镜,福满山庄2栋,福满山庄3栋",闽D0TL89,偏东(69),"118.165416,24.47516",754.0,*思明区莲前东路697号
724,2023-09-01 09:32:22,26 km/h,50.01 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道;莲前东路2号;华林花,国家税务总局厦门市思明区税务局莲前税务所,前埔健身公园",闽D0TL89,东北(24),"118.165581,24.47531",754.0,*思明区莲前东路697号
725,2023-09-01 09:32:25,35 km/h,50.04 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道前埔东路900号;前埔路,前埔南路-前埔路交叉路口;青籽托管,福巴喜茗茶(华林店),华林花园(前埔路)",闽D0TL89,偏北(14),"118.165692,24.47556",2208323.0,厦门市思明区前埔西路41号（一层及夹层）
726,2023-09-01 09:32:34,20 km/h,50.13 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道莲前东路1227号;前埔路,前埔路-田厝路交叉路口;视贝电工照明水暖灯具(华林花园二期店),赛贝专业艺术教育机构(前埔路店),厦门市煜辉棋院前埔分院",闽D0TL89,东北(40),"118.166026,24.476342",761.0,前埔西路295号
727,2023-09-01 09:32:36,19 km/h,50.14 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道莲前东路1225号;田厝路,前埔路-田厝路交叉路口;成滨花生汤(前铺店),视贝电工照明水暖灯具(华林花园二期店),赛贝专业艺术教育机构(前埔路店)",闽D0TL89,偏东(70),"118.166126,24.476414",761.0,前埔西路295号
728,2023-09-01 09:32:38,20 km/h,50.15 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道莲前东路1225号;田厝路,前埔路-田厝路交叉路口;成滨花生汤(前铺店),视贝电工照明水暖灯具(华林花园二期店),赛贝专业艺术教育机构(前埔路店)",闽D0TL89,偏东(88),"118.166185,24.476426",761.0,前埔西路295号
729,2023-09-01 09:32:40,20 km/h,50.17 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道;田厝路1号;前埔北区二里,前埔健身公园,庄总·云聚智慧社区",闽D0TL89,东南(125),"118.166371,24.476372",761.0,前埔西路295号
730,2023-09-01 09:32:48,6 km/h,50.2 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道;田厝路7号;前埔北区二里,庄总·云聚智慧社区,国贸新城",闽D0TL89,西南(233),"118.166631,24.476228",761.0,前埔西路295号
731,2023-09-01 09:33:04,0 km/h,50.2 km,0秒 / 30秒,在线 / 停车 / ACC开,"福建省厦门市思明区莲前街道;田厝路7号;前埔北区二里,庄总·云聚智慧社区,国贸新城",闽D0TL89,正北(0),"118.166637,24.476225",761.0,前埔西路295号
732,2023-09-01 09:33:34,0 km/h,50.2 km,30秒 / 30秒,在线 / 停车 / ACC开,"福建省厦门市思明区莲前街道;田厝路7号;前埔北区二里,庄总·云聚智慧社区,国贸新城",闽D0TL89,正北(0),"118.166637,24.476225",761.0,前埔西路295号
733,2023-09-01 09:33:40,4 km/h,50.2 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道;田厝路7号;前埔北区二里,庄总·云聚智慧社区,国贸新城",闽D0TL89,偏东(108),"118.166663,24.476218",761.0,前埔西路295号
734,2023-09-01 09:34:00,4 km/h,50.2 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道;田厝路68号;庄总·云聚智慧社区,国贸新城,前埔北区二里",闽D0TL89,偏东(87),"118.166714,24.476211",761.0,前埔西路295号
777,2023-09-01 09:40:34,36 km/h,51.5 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道;前埔西路;信福堂药店,妯娌老鸭粉丝汤(瑞景店),美强茶庄",闽D0TL89,东北(23),"118.165577,24.474659",754.0,*思明区莲前东路697号
778,2023-09-01 09:40:36,36 km/h,51.52 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道莲前东路365号;前埔南路,前埔南路-前埔路交叉路口;古源茶艺馆(前埔南路店),思明区城市管理行政执法局莲前中队,LuoChen洛宸(会展中心店)",闽D0TL89,东北(34),"118.165669,24.474813",754.0,*思明区莲前东路697号
779,2023-09-01 09:40:37,31 km/h,51.53 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道莲前东路940号;前埔南路,前埔南路-前埔路交叉路口;古源茶艺馆(前埔南路店),思明区城市管理行政执法局莲前中队,摩飞少儿英语",闽D0TL89,东北(47),"118.165727,24.474873",754.0,*思明区莲前东路697号
780,2023-09-01 09:40:39,29 km/h,51.55 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道;莲前东路889-106号;新华都购物广场(前埔店),中共厦门市快速公交场站有限公司总支委,国贸新城",闽D0TL89,偏东(69),"118.165872,24.474951",754.0,*思明区莲前东路697号
781,2023-09-01 09:40:42,33 km/h,51.57 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道莲前东路933号;莲前东路,前埔南路-前埔路交叉路口;青籽托管,福巴喜茗茶(华林店),中国邮政储蓄银行(莲前东营业所)",闽D0TL89,偏东(96),"118.166099,24.474986",732.0,*明发花园A幢商场105号
782,2023-09-01 09:40:43,37 km/h,51.58 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道莲前东路933号;莲前东路,前埔南路-前埔路交叉路口;青籽托管,福巴喜茗茶(华林店),中国邮政储蓄银行(莲前东营业所)",闽D0TL89,偏东(107),"118.166193,24.474968",732.0,*明发花园A幢商场105号
867,2023-09-01 10:00:11,8 km/h,53.16 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道;岭兜北二路;国金广场,国金广场充电站,祝佳风味餐馆",闽D0TL89,偏东(99),"118.174169,24.482574",2229990.0,厦门市思明区前埔路506-508号“国企广场”A栋14层03.05单元
868,2023-09-01 10:00:13,6 km/h,53.16 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道;岭兜北二路;国金广场,国金广场充电站,祝佳风味餐馆",闽D0TL89,偏东(110),"118.174188,24.482571",2229990.0,厦门市思明区前埔路506-508号“国企广场”A栋14层03.05单元
869,2023-09-01 10:00:15,6 km/h,53.16 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道;岭兜北二路;国金广场,国金广场充电站,祝佳风味餐馆",闽D0TL89,东南(125),"118.17422,24.48256",2229990.0,厦门市思明区前埔路506-508号“国企广场”A栋14层03.05单元
870,2023-09-01 10:00:17,6 km/h,53.16 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道;岭兜北二路;国金广场,国金广场充电站,祝佳风味餐馆",闽D0TL89,东南(142),"118.174233,24.48255",2229990.0,厦门市思明区前埔路506-508号“国企广场”A栋14层03.05单元
871,2023-09-01 10:00:19,5 km/h,53.16 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道;岭兜北二路;国金广场,国金广场充电站,祝佳风味餐馆",闽D0TL89,西南(209),"118.174238,24.482512",2229990.0,厦门市思明区前埔路506-508号“国企广场”A栋14层03.05单元
872,2023-09-01 10:00:21,5 km/h,53.17 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道;岭兜北二路;国金广场,国金广场充电站,祝佳风味餐馆",闽D0TL89,偏南(186),"118.174229,24.482489",2229990.0,厦门市思明区前埔路506-508号“国企广场”A栋14层03.05单元
873,2023-09-01 10:00:31,0 km/h,53.17 km,0秒 / 59秒,在线 / 停车 / ACC开,"福建省厦门市思明区;前埔东路598号;岭兜小区(中区),中共福建光电有限公司支部,福光工业园",闽D0TL89,正北(0),"118.174227,24.48246",2229990.0,厦门市思明区前埔路506-508号“国企广场”A栋14层03.05单元
874,2023-09-01 10:01:00,0 km/h,53.17 km,29秒 / 59秒,在线 / 停车 / ACC开,"福建省厦门市思明区;前埔东路598号;岭兜小区(中区),中共福建光电有限公司支部,福光工业园",闽D0TL89,正北(0),"118.174227,24.48246",2229990.0,厦门市思明区前埔路506-508号“国企广场”A栋14层03.05单元
875,2023-09-01 10:01:30,0 km/h,53.17 km,59秒 / 59秒,在线 / 停车 / ACC开,"福建省厦门市思明区;前埔东路598号;岭兜小区(中区),中共福建光电有限公司支部,福光工业园",闽D0TL89,正北(0),"118.174227,24.48246",2229990.0,厦门市思明区前埔路506-508号“国企广场”A栋14层03.05单元
876,2023-09-01 10:02:00,2 km/h,53.18 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道;岭兜北二路;国金广场,国金广场充电站,祝佳风味餐馆",闽D0TL89,偏南(192),"118.174277,24.482509",2229990.0,厦门市思明区前埔路506-508号“国企广场”A栋14层03.05单元
877,2023-09-01 10:02:10,5 km/h,53.18 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道;岭兜北二路;国金广场,国金广场充电站,祝佳风味餐馆",闽D0TL89,偏西(286),"118.174295,24.482548",2229990.0,厦门市思明区前埔路506-508号“国企广场”A栋14层03.05单元
878,2023-09-01 10:02:12,5 km/h,53.18 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道;岭兜北二路;国金广场,国金广场充电站,祝佳风味餐馆",闽D0TL89,西北(304),"118.17428,24.482555",2229990.0,厦门市思明区前埔路506-508号“国企广场”A栋14层03.05单元
879,2023-09-01 10:02:14,4 km/h,53.19 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道;岭兜北二路;国金广场,国金广场充电站,祝佳风味餐馆",闽D0TL89,偏北(341),"118.174259,24.482576",2229990.0,厦门市思明区前埔路506-508号“国企广场”A栋14层03.05单元
880,2023-09-01 10:02:16,6 km/h,53.19 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道;岭兜北二路;国金广场,国金广场充电站,祝佳风味餐馆",闽D0TL89,偏北(356),"118.174252,24.482589",2229990.0,厦门市思明区前埔路506-508号“国企广场”A栋14层03.05单元
881,2023-09-01 10:02:18,11 km/h,53.19 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道前埔东路646号;前埔东路,前埔东路-岭兜二路交叉路口;酸小七酸汤鱼米饭(前埔东路店),吃饱饱麻辣烫炸串(岭兜小区北区店),阿秋牛排店(厦门总店)",闽D0TL89,偏北(1),"118.174243,24.482652",2229990.0,厦门市思明区前埔路506-508号“国企广场”A栋14层03.05单元
892,2023-09-01 10:03:30,50 km/h,53.69 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道吕岭路1812号;吕岭路,前埔东路-吕岭路交叉路口;望禾潮·鲍鱼鸡煲(新景花园店),香山海景苑,朗明纳斯研发实验室",闽D0TL89,偏东(108),"118.177529,24.48413",364.0,思明区岭兜片区58号
981,2023-09-01 10:19:03,13 km/h,58.35 km, ,在线 / 行驶,"福建省厦门市湖里区金山街道;高林中路;厦门我嘉尔精品酒店(万达店),厦门桑梓公寓,源泉超市(万达店)",闽D0TL89,西南(230),"118.17427,24.506427",2229815.0,厦门市湖里区高林西里7号102单元
987,2023-09-01 10:19:52,10 km/h,58.59 km, ,在线 / 行驶,"福建省厦门市湖里区金山街道;仙岳路4666号-1272;万达广场写字楼,湖边花园,厦门湖里万达广场-C1号楼",闽D0TL89,西北(318),"118.172105,24.50562",2236166.0,厦门市湖里区金山中路501号负一药库
988,2023-09-01 10:19:55,20 km/h,58.6 km, ,在线 / 行驶,"福建省厦门市湖里区金山街道;仙岳路;厦门颐祥弘爱护理院,甘萃芝旅万达店,弘爱医院",闽D0TL89,西北(333),"118.172032,24.505707",2236166.0,厦门市湖里区金山中路501号负一药库
989,2023-09-01 10:20:00,28 km/h,58.63 km, ,在线 / 行驶,"福建省厦门市湖里区金山街道;金山路;厦门湖里万达广场,厦门招志网络,湖边花园A区",闽D0TL89,西北(337),"118.171936,24.505956",3283.0,厦门市湖里区仙岳路3775号
990,2023-09-01 10:20:13,7 km/h,58.7 km, ,在线 / 行驶,"福建省厦门市湖里区湖里区无缘水乡;仙岳路;坛烧八味.五常香米饭(弘爱店),厦门颐祥弘爱护理院,弘爱医院",闽D0TL89,偏北(344),"118.171685,24.506536",876123.0,厦门市湖里区仙岳路3777号 弘爱医院康复楼12楼
991,2023-09-01 10:20:30,0 km/h,58.71 km,0秒 / 0秒,在线 / 停车 / ACC开,"福建省厦门市湖里区湖里区无缘水乡;仙岳路;坛烧八味.五常香米饭(弘爱店),厦门颐祥弘爱护理院,弘爱医院",闽D0TL89,正北(0),"118.171656,24.506569",876123.0,厦门市湖里区仙岳路3777号 弘爱医院康复楼12楼
992,2023-09-01 10:20:35,5 km/h,58.71 km, ,在线 / 行驶,"福建省厦门市湖里区湖里区无缘水乡;仙岳路;坛烧八味.五常香米饭(弘爱店),厦门颐祥弘爱护理院,弘爱医院",闽D0TL89,西北(334),"118.171641,24.506586",876123.0,厦门市湖里区仙岳路3777号 弘爱医院康复楼12楼
