序号,定位时间,行驶速度,行驶里程,已停留/总停留,车辆状态,地理位置,车牌号码,行驶方向,location,TRANSID,INCEPTADDR
276,2023-09-01 07:25:29,0 km/h,19.91 km,0秒 / 30秒,在线 / 停车 / ACC开,"福建省厦门市集美区灌口镇;集美北大道788号-之18区;江淮轻卡,厦门迅闽车辆销售服务有限公司,厦门宝祥瑞金属材料有限公司",闽D0TL89,正北(0),"118.003569,24.598248",2243256.0,厦门市集美区灌口镇三社路66-107号
277,2023-09-01 07:25:59,0 km/h,19.91 km,30秒 / 30秒,在线 / 停车 / ACC开,"福建省厦门市集美区灌口镇;集美北大道788号-之18区;江淮轻卡,厦门迅闽车辆销售服务有限公司,厦门宝祥瑞金属材料有限公司",闽D0TL89,正北(0),"118.003569,24.598248",2243256.0,厦门市集美区灌口镇三社路66-107号
305,2023-09-01 07:28:28,0 km/h,20.62 km,0秒 / 42分15秒,在线 / 停车 / ACC开,"福建省厦门市集美区灌口镇三社路356号;集美北大道,安仁大道辅路-三社路交叉路口;厦门鹭燕制药有限公司,格林后整体家居,厦门亿同新印刷科技有限公司",闽D0TL89,正北(0),"118.003235,24.601972",281.0,厦门市集美区灌口镇安仁大道1001#第6-8间店面
306,2023-09-01 07:28:58,0 km/h,20.62 km,30秒 / 42分15秒,在线 / 停车 / ACC开,"福建省厦门市集美区灌口镇三社路356号;集美北大道,安仁大道辅路-三社路交叉路口;厦门鹭燕制药有限公司,格林后整体家居,厦门亿同新印刷科技有限公司",闽D0TL89,正北(0),"118.003235,24.601972",281.0,厦门市集美区灌口镇安仁大道1001#第6-8间店面
307,2023-09-01 07:29:28,0 km/h,20.62 km,1分 / 42分15秒,在线 / 停车 / ACC开,"福建省厦门市集美区灌口镇三社路356号;集美北大道,安仁大道辅路-三社路交叉路口;厦门鹭燕制药有限公司,格林后整体家居,厦门亿同新印刷科技有限公司",闽D0TL89,正北(0),"118.003235,24.601972",281.0,厦门市集美区灌口镇安仁大道1001#第6-8间店面
308,2023-09-01 07:29:58,0 km/h,20.62 km,1分30秒 / 42分15秒,在线 / 停车 / ACC开,"福建省厦门市集美区灌口镇三社路356号;集美北大道,安仁大道辅路-三社路交叉路口;厦门鹭燕制药有限公司,格林后整体家居,厦门亿同新印刷科技有限公司",闽D0TL89,正北(0),"118.003235,24.601972",281.0,厦门市集美区灌口镇安仁大道1001#第6-8间店面
309,2023-09-01 07:30:28,0 km/h,20.62 km,2分 / 42分15秒,在线 / 停车 / ACC开,"福建省厦门市集美区灌口镇三社路356号;集美北大道,安仁大道辅路-三社路交叉路口;厦门鹭燕制药有限公司,格林后整体家居,厦门亿同新印刷科技有限公司",闽D0TL89,正北(0),"118.003235,24.601972",281.0,厦门市集美区灌口镇安仁大道1001#第6-8间店面
310,2023-09-01 07:30:58,0 km/h,20.62 km,2分30秒 / 42分15秒,在线 / 停车 / ACC开,"福建省厦门市集美区灌口镇三社路356号;集美北大道,安仁大道辅路-三社路交叉路口;厦门鹭燕制药有限公司,格林后整体家居,厦门亿同新印刷科技有限公司",闽D0TL89,正北(0),"118.003235,24.601972",281.0,厦门市集美区灌口镇安仁大道1001#第6-8间店面
311,2023-09-01 07:31:28,0 km/h,20.62 km,3分 / 42分15秒,在线 / 停车 / ACC开,"福建省厦门市集美区灌口镇三社路356号;集美北大道,安仁大道辅路-三社路交叉路口;厦门鹭燕制药有限公司,格林后整体家居,厦门亿同新印刷科技有限公司",闽D0TL89,正北(0),"118.003235,24.601972",281.0,厦门市集美区灌口镇安仁大道1001#第6-8间店面
312,2023-09-01 07:31:58,0 km/h,20.62 km,3分30秒 / 42分15秒,在线 / 停车 / ACC开,"福建省厦门市集美区灌口镇三社路356号;集美北大道,安仁大道辅路-三社路交叉路口;厦门鹭燕制药有限公司,格林后整体家居,厦门亿同新印刷科技有限公司",闽D0TL89,正北(0),"118.003235,24.601972",281.0,厦门市集美区灌口镇安仁大道1001#第6-8间店面
