distance,duration,origin,destination
22713,1440,0,1167
22410,1448,0,1168
21623,1217,0,1170
22427,1500,0,1169
22485,1399,0,1162
22087,1355,0,1174
21735,1284,0,1171
21714,1233,0,1177
22745,1475,0,1173
22416,1429,0,1172
22295,1441,0,1179
22583,1421,0,1178
22066,1372,0,1175
21823,1354,0,1180
21820,1314,0,1182
22487,1399,0,1181
21816,1352,0,1176
22480,1482,0,1183
24228,1531,0,1185
22337,1345,0,1184
23879,1588,0,1186
22462,1451,0,1187
23513,1467,0,1189
23558,1516,0,1190
23644,1524,0,1188
21155,1251,0,1193
22027,1307,0,1194
20933,1237,0,1191
22633,1454,0,1195
22569,1414,0,1196
20931,1203,0,1197
19333,1397,0,1198
24305,1630,0,1192
21873,1373,0,1199
21997,1270,0,1200
22258,1421,0,1205
23345,1442,0,1204
23112,1489,0,1203
21887,1389,0,1201
22423,1391,0,1207
22421,1412,0,1206
20966,1220,0,1208
21956,1310,0,1210
22685,1441,0,1212
21935,1400,0,1211
21701,1231,0,1202
21874,1374,0,1214
22237,1384,0,1213
22704,1386,0,1217
22912,1473,0,1209
23387,1583,0,1219
23269,1545,0,1218
19377,1207,0,1221
21167,1259,0,1222
24282,1547,0,1216
20605,1312,0,1224
22357,1374,0,1223
18861,1250,0,1226
21803,1272,0,1220
22249,1360,0,1215
22344,1349,0,1228
43383,2460,0,1230
22718,1416,0,1225
22120,1678,0,1231
21069,1228,0,1232
22804,1421,0,1233
24404,1482,0,1234
23015,1422,0,1236
22124,1364,0,1229
23854,1619,0,1227
24146,1523,0,1235
22546,1404,0,1237
24033,1510,0,1238
23254,1516,0,1239
21182,1274,0,1242
23914,1571,0,1243
22202,1411,0,1241
23287,1539,0,1245
21689,1340,0,1247
21036,1261,0,1250
23921,1574,0,1244
22665,1373,0,1249
21714,1332,0,1240
22136,1389,0,1248
21857,1369,0,1246
24142,1514,0,1251
22406,1402,0,1252
22016,1320,0,1253
22317,1352,0,1257
23632,1511,0,1254
23666,1499,0,1256
22020,1389,0,1258
22916,1477,0,1259
23980,1501,0,1260
22698,1446,0,1264
22038,1329,0,1261
23617,1551,0,1255
22129,1347,0,1265
23765,1425,0,1266
22108,1490,0,1267
20947,1222,0,1269
22016,1424,0,1262
21734,1379,0,1263
21644,1272,0,1268
22269,1462,0,1270
22925,1475,0,1272
21978,1415,0,1273
21652,1366,0,1274
21678,1284,0,1276
22438,1405,0,1278
22596,1411,0,1271
22490,1403,0,1280
22617,1470,0,1277
22692,1418,0,1283
24116,1530,0,1275
22521,1383,0,1281
23559,1492,0,1282
22122,1359,0,1284
22872,1466,0,1279
21105,1585,0,1285
24126,1515,0,1286
22565,1379,0,1293
23363,1445,0,1291
22426,1366,0,1289
22193,1383,0,1288
23232,1494,0,1292
23042,1465,0,1290
22350,1446,0,1295
22695,1380,0,1296
22104,1343,0,1299
21916,1402,0,1298
22930,1353,0,1297
22968,1434,0,1294
22720,1383,0,1287
22589,1411,0,1300
22535,1352,0,1303
22789,1445,0,1307
21842,1377,0,1301
21838,1275,0,1302
22510,1438,0,1308
22495,1534,0,1306
23613,1478,0,1305
23291,1540,0,1304
22293,1436,0,1316
22114,1428,0,1312
23160,1507,0,1311
23075,1533,0,1309
23982,1496,0,1310
22590,1417,0,1313
22116,1363,0,1315
12165,1082,0,1322
12196,1052,0,1323
17869,1492,0,1321
23252,1807,0,1318
12647,1380,0,1317
23221,1546,0,1314
21084,1778,0,1319
21243,1943,0,1320
12392,1632,0,1330
17759,1414,0,1328
12250,1365,0,1324
13732,1536,0,1331
12205,1395,0,1327
23784,1946,0,1329
17735,1468,0,1325
20964,1720,0,1326
12426,1515,0,1337
12145,1061,0,1335
13855,1587,0,1333
20137,1700,0,1334
18313,1547,0,1338
19964,1663,0,1332
13645,1152,0,1336
10589,1101,0,1344
21099,1774,0,1343
21064,1652,0,1339
12953,1459,0,1345
12740,1439,0,1342
23791,1967,0,1340
19632,1742,0,1341
21190,1743,0,1346
12074,1026,0,1349
12739,1438,0,1347
18708,1633,0,1348
21415,1745,0,1353
12267,1454,0,1352
20111,1646,0,1350
19798,1620,0,1354
13704,1509,0,1359
12042,1098,0,1355
20140,1689,0,1360
20275,1834,0,1358
20162,1670,0,1351
20799,1734,0,1356
