TransID,Xiamen.经度,Xiamen.纬度,combine
30499,118.111681,24.485806,"118.111681,24.485806"
30500,118.132867,24.489808,"118.132867,24.489808"
30501,118.146874,24.492573,"118.146874,24.492573"
30212,118.134468,24.493839,"118.134468,24.493839"
30213,118.134504,24.727497,"118.134504,24.727497"
30233,118.120056,24.469757,"118.120056,24.469757"
30234,118.179501,24.502857,"118.179501,24.502857"
30247,118.14189,24.47617,"118.141890,24.476170"
30590,118.088899,24.45085,"118.088899,24.450850"
30534,117.927892,24.553958,"117.927892,24.553958"
30591,118.112154,24.505681,"118.112154,24.505681"
30536,118.078934,24.454702,"118.078934,24.454702"
30630,118.0814,24.45019,"118.081400,24.450190"
30574,118.090371,24.443221,"118.090371,24.443221"
30690,118.184287,24.675256,"118.184287,24.675256"
30810,118.112503,24.474147,"118.112503,24.474147"
30853,118.122004,24.495655,"118.122004,24.495655"
30899,118.104473,24.46025,"118.104473,24.460250"
30911,118.150087,24.511449,"118.150087,24.511449"
30912,118.150087,24.511449,"118.150087,24.511449"
32190,117.820279,24.445399,"117.820279,24.445399"
32191,117.854549,24.410662,"117.854549,24.410662"
32192,117.811474,24.438309,"117.811474,24.438309"
32715,118.152762,24.653929,"118.152762,24.653929"
19497,118.089796,24.600857,"118.089796,24.600857"
19667,118.128637,24.471948,"118.128637,24.471948"
19668,118.128637,24.471948,"118.128637,24.471948"
23742,118.171506,24.505595,"118.171506,24.505595"
23744,118.10324,24.461989,"118.103240,24.461989"
23745,118.126662,24.502833,"118.126662,24.502833"
29812,118.14641,24.496626,"118.146410,24.496626"
30520,118.150623,24.493018,"118.150623,24.493018"
19059,118.059761,24.574952,"118.059761,24.574952"
32212,117.80114,24.66075,"117.801140,24.660750"
32230,117.807189,24.451183,"117.807189,24.451183"
32231,117.822469,24.434695,"117.822469,24.434695"
32256,117.914847,24.787081,"117.914847,24.787081"
32268,117.854257,24.409988,"117.854257,24.409988"
32270,117.843338,24.46608,"117.843338,24.466080"
12907,118.122174,24.509149,"118.122174,24.509149"
12908,118.106571,24.526993,"118.106571,24.526993"
12909,118.01975,24.532438,"118.019750,24.532438"
12910,118.253027,24.661568,"118.253027,24.661568"
12911,118.03239,24.493505,"118.032390,24.493505"
12912,118.251707,24.657812,"118.251707,24.657812"
12913,118.25658,24.738547,"118.256580,24.738547"
12914,118.138952,24.493241,"118.138952,24.493241"
12955,118.104919,24.459679,"118.104919,24.459679"
13134,118.112154,24.505681,"118.112154,24.505681"
13518,118.108391,24.607409,"118.108391,24.607409"
13934,118.099655,24.469593,"118.099655,24.469593"
13956,118.033904,24.490365,"118.033904,24.490365"
13976,118.154456,24.53702,"118.154456,24.537020"
14054,118.089492,24.479706,"118.089492,24.479706"
14115,118.143014,24.481641,"118.143014,24.481641"
14176,118.113753,24.47014,"118.113753,24.470140"
14215,118.158035,24.507158,"118.158035,24.507158"
14218,118.100123,24.519776,"118.100123,24.519776"
12809,118.130824,24.503642,"118.130824,24.503642"
12811,118.157163,24.505429,"118.157163,24.505429"
12812,118.097117,24.471195,"118.097117,24.471195"
12873,118.111779,24.493764,"118.111779,24.493764"
12874,118.24632,24.60969,"118.246320,24.609690"
12875,118.081508,24.452638,"118.081508,24.452638"
12876,118.095176,24.457484,"118.095176,24.457484"
12877,117.99813,24.52206,"117.998130,24.522060"
12878,118.086241,24.456106,"118.086241,24.456106"
12879,117.932716,24.559811,"117.932716,24.559811"
12880,118.094623,24.508246,"118.094623,24.508246"
12881,118.102106,24.572355,"118.102106,24.572355"
12882,118.115874,24.488267,"118.115874,24.488267"
12884,118.146098,24.501697,"118.146098,24.501697"
12885,118.117618,24.478206,"118.117618,24.478206"
13074,118.124511,24.505014,"118.124511,24.505014"
13153,118.118125,24.474176,"118.118125,24.474176"
13375,118.106507,24.47157,"118.106507,24.471570"
13579,118.119911,24.495454,"118.119911,24.495454"
13894,118.122494,24.479443,"118.122494,24.479443"
14162,118.132572,24.499205,"118.132572,24.499205"
14219,118.224406,24.660951,"118.224406,24.660951"
12815,118.129518,24.473381,"118.129518,24.473381"
12816,118.111765,24.516864,"118.111765,24.516864"
12817,118.09176,24.43919,"118.091760,24.439190"
12818,118.102723,24.472157,"118.102723,24.472157"
12819,118.112061,24.525739,"118.112061,24.525739"
12820,118.10324,24.461989,"118.103240,24.461989"
12821,118.056804,24.563585,"118.056804,24.563585"
12822,118.120209,24.487807,"118.120209,24.487807"
12823,118.03849,24.498568,"118.038490,24.498568"
12824,118.110027,24.506248,"118.110027,24.506248"
