运输地址ID,线路名称,Xiamen.经度,Xiamen.纬度,location
12870,线路6,118.15528,24.51088,"118.155280,24.510880"
12871,线路8,118.105993,24.593378,"118.105993,24.593378"
12899,线路8,118.099487,24.575474,"118.099487,24.575474"
12901,线路9,118.248896,24.626707,"118.248896,24.626707"
12902,线路7,118.095112,24.507041,"118.095112,24.507041"
12905,线路4,118.159617,24.474933,"118.159617,24.474933"
12907,线路6,118.122174,24.509149,"118.122174,24.509149"
12908,线路7,118.106571,24.526993,"118.106571,24.526993"
12910,线路9,118.253027,24.661568,"118.253027,24.661568"
12912,线路9,118.251707,24.657812,"118.251707,24.657812"
12913,线路10,118.25658,24.738547,"118.256580,24.738547"
12812,线路2,118.097117,24.471195,"118.097117,24.471195"
12874,线路9,118.24632,24.60969,"118.246320,24.609690"
12876,线路1,118.095176,24.457484,"118.095176,24.457484"
12881,线路8,118.102106,24.572355,"118.102106,24.572355"
12884,线路6,118.146098,24.501697,"118.146098,24.501697"
12819,线路7,118.112061,24.525739,"118.112061,24.525739"
12820,线路3,118.10324,24.461989,"118.103240,24.461989"
12821,线路11,118.056804,24.563585,"118.056804,24.563585"
12861,线路12,118.040179,24.491504,"118.040179,24.491504"
14254,线路4,118.171506,24.505595,"118.171506,24.505595"
12897,线路4,118.161254,24.477503,"118.161254,24.477503"
12833,线路7,118.102711,24.523599,"118.102711,24.523599"
12853,线路3,118.109363,24.480381,"118.109363,24.480381"
12834,线路1,118.087739,24.452627,"118.087739,24.452627"
12836,线路10,118.147506,24.727468,"118.147506,24.727468"
18836,线路1,118.080463,24.45698,"118.080463,24.456980"
19236,线路7,118.10148,24.50435,"118.101480,24.504350"
19616,线路9,118.2483,24.65961,"118.248300,24.659610"
31431,线路12,118.010242,24.534007,"118.010242,24.534007"
20177,线路4,118.162088,24.528988,"118.162088,24.528988"
25388,线路11,118.05559,24.561769,"118.055590,24.561769"
30232,线路2,118.099334,24.461551,"118.099334,24.461551"
23803,线路6,118.144212,24.508481,"118.144212,24.508481"
30508,线路2,118.086006,24.467135,"118.086006,24.467135"
30514,线路5,118.13512,24.498669,"118.135120,24.498669"
30557,线路2,118.084902,24.460519,"118.084902,24.460519"
30762,线路7,118.100357,24.519862,"118.100357,24.519862"
30792,线路12,118.039736,24.454813,"118.039736,24.454813"
20738,线路3,118.08726,24.492819,"118.087260,24.492819"
30332,线路8,118.103757,24.584482,"118.103757,24.584482"
30340,线路11,118.05559,24.561769,"118.055590,24.561769"
19518,线路8,118.103757,24.584482,"118.103757,24.584482"
30550,线路6,118.140663,24.500073,"118.140663,24.500073"
30445,线路8,118.104804,24.59334,"118.104804,24.593340"
30503,线路9,118.2483,24.65961,"118.248300,24.659610"
30631,线路1,118.121872,24.435848,"118.121872,24.435848"
30573,线路11,117.997091,24.603403,"117.997091,24.603403"
30213,线路10,118.134504,24.727497,"118.134504,24.727497"
30590,线路1,118.088899,24.45085,"118.088899,24.450850"
30536,线路1,118.078934,24.454702,"118.078934,24.454702"
30810,线路2,118.112503,24.474147,"118.112503,24.474147"
30592,线路4,118.176124,24.474295,"118.176124,24.474295"
30593,线路12,117.994311,24.530359,"117.994311,24.530359"
19577,线路8,118.101947,24.60397,"118.101947,24.603970"
25090,线路11,118.030995,24.56427,"118.030995,24.564270"
31757,线路1,118.081554,24.450117,"118.081554,24.450117"
27770,线路11,118.024009,24.591569,"118.024009,24.591569"
30553,线路8,118.034762,24.628128,"118.034762,24.628128"
23051,线路5,118.128484,24.493267,"118.128484,24.493267"
27331,线路9,118.245821,24.603811,"118.245821,24.603811"
28950,线路12,118.040331,24.499118,"118.040331,24.499118"
30237,线路11,118.045118,24.565717,"118.045118,24.565717"
21502,线路4,118.162006,24.528954,"118.162006,24.528954"
21503,线路8,118.103757,24.584482,"118.103757,24.584482"
21836,线路8,118.09567,24.572998,"118.095670,24.572998"
24747,线路2,118.100109,24.489291,"118.100109,24.489291"
28670,线路2,118.0954,24.467321,"118.095400,24.467321"
30273,线路8,118.122295,24.653878,"118.122295,24.653878"
30304,线路12,118.039633,24.491002,"118.039633,24.491002"
45295,线路2,118.08576,24.463643,"118.085760,24.463643"
37752,线路8,118.104766,24.586503,"118.104766,24.586503"
45413,线路12,118.039439,24.497422,"118.039439,24.497422"
43173,线路2,118.077344,24.463403,"118.077344,24.463403"
45293,线路5,118.142342,24.47716,"118.142342,24.477160"
61833,线路11,118.062231,24.560641,"118.062231,24.560641"
44994,线路3,118.105915,24.467443,"118.105915,24.467443"
45674,线路4,118.179048,24.503617,"118.179048,24.503617"
